name,n_posts,mean_post_len,earliest_date,latest_date
holly.goes.fit,498,89.49,2022-03-03,2023-06-13
noch_so_eine_die_abnimmt,351,174.14,2020-04-19,2022-09-01
talisaminoush,2720,44.4,2012-04-08,2023-06-03
lebenliebeschnaps,259,128.29,2020-08-22,2023-06-19
alexa_katharina,956,77.16,2016-08-28,2023-06-19
hannahmaylou,1385,73.96,2013-06-02,2023-06-19
endlich_zufrieden,1297,88.36,2019-01-19,2023-05-21
its_me_debbie_,97,47.92,2021-04-30,2023-06-19
ninabotzen,21,125.48,2023-04-25,2023-06-15
dariadaria,1260,56.2,2018-04-09,2023-06-20
angeliquelini,1912,75.77,2016-02-11,2023-05-22
andrina.tinner,160,59.46,2016-07-03,2023-05-17
annika.kroner,12,103.75,2023-01-20,2023-05-20
charlotte_weise,2020,66.96,2015-09-22,2023-06-21
anina.gepp,2372,141.47,2015-09-04,2023-06-22
chloe.roxane,12,43.67,2021-10-02,2023-05-22
orchidea_luna,1402,104.66,2014-09-21,2023-07-08
mutausbrueche,24,38.25,2023-05-01,2023-06-23
jenny.lambrecht,12,24.17,2023-01-07,2023-04-27
jesswayoflife,24,176.12,2020-07-11,2023-06-20
luluandherselflove,462,92.82,2020-09-09,2023-06-21
pmlm_selflove,0,0,NA,NA
curvesarewonderful,963,131.89,2016-08-14,2023-07-09
jacqueline_oberhauser,25,83.48,2023-04-10,2023-06-21
wellshesassy,212,69.35,2014-06-30,2023-05-03
morenadiaz,1123,98.85,2014-06-07,2023-07-10
sandra1977sandra,12,27.42,2022-08-03,2023-04-17
xenia_stutz,66,85.61,2023-04-20,2023-06-28
analysis_all_data,2,1352166.0,NA,NA
poetin_25,12,17.92,2022-09-15,2023-05-13
dr.med.mareike.awe,2050,135.75,2016-01-19,2023-07-11
sinem.coaching,131,75.93,2015-10-11,2023-04-27
nathalie.moves,312,90.79,2021-03-16,2023-05-19
melodie_michelberger,2565,57.54,2013-10-27,2023-06-22
juliaroemmelt,23,20.04,2023-04-17,2023-07-07
ms_wunderbar,12,19.42,2023-05-08,2023-05-22
rebeccachelbea,1060,96.1,2016-04-10,2023-07-10
fit.by.leni,12,119.5,2022-12-01,2023-05-22
hej_hejdi,12,130.67,2022-05-18,2023-05-22
corinna_fee,12,120.17,2022-09-20,2023-03-23
male.geers,14,81.36,2023-01-05,2023-05-24
its_me_debbie,0,0,NA,NA
anastasia_klassen_,12,31.25,2022-08-16,2022-09-17
anjazeidler,2216,95.71,2012-11-25,2023-07-10
janine.imfeld,62,136.23,2021-08-13,2023-05-28
milenka.emilia,1572,71.28,2013-07-14,2023-05-21
anipunkt,12,124.17,2022-12-08,2023-05-21
marenkissing,1268,67.71,2015-05-30,2023-07-10
